1,2,3,4,5,6,7,8,9,10,name,evolution_stage,skillName,타수,범위,속성,target,targetCount,effect,additionalTurn
0.25,0.2625,0.275,0.2875,0.3,0.3125,0.325,0.3375,0.35,0.3625,가지몬,성장기,페럴라이즈 브레스,4,근거리,어둠,적,단일
1,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,고부리몬,성장기,고부리폭탄,1,원거리,불,적,단일
0.1666,0.175,0.1833,0.1916,0.2,0.2083,0.2166,0.225,0.2333,0.2416,기자몬,성장기,스파이럴 엣지,6,근거리,물리,적,단일
1,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,길몬,성장기,파이어볼,1,원거리,불,적,단일
0.25,0.2625,0.275,0.2875,0.3,0.3125,0.325,0.3375,0.35,0.3625,돌몬,성장기,메탈 캐논,4,원거리,강철,적,단일
0.1666,0.175,0.1833,0.1916,0.2,0.2083,0.2166,0.225,0.2333,0.2416,레나몬,성장기,호엽설,6,원거리,바람,적,단일
1,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,머슈몬,성장기,포이즌 스머쉬,1,원거리,나무,적,단일
0.5,0.525,0.55,0.575,0.6,0.625,0.65,0.675,0.7,0.725,베타몬,성장기,전격 비리린,2,원거리,천둥,적,단일
1,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,브이몬,성장기,브이몬 헤드,1,근거리,물리,적,단일
0.25,0.2625,0.275,0.2875,0.3,0.3125,0.325,0.3375,0.35,0.3625,샤코몬,성장기,워터스크류,4,근거리,물,적,단일
1,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,쉬라몬,성장기,물고기 행진,1,원거리,물,적,단일
1,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,아구몬,성장기,꼬마 불꽃,1,원거리,불,적,단일
0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,아기벌몬,성장기,88콜,5,근거리,바람,적,단일
0.25,0.2625,0.275,0.2875,0.3,0.3125,0.325,0.3375,0.35,0.3625,아르마몬,성장기,롤링 스톤,4,근거리,흙,적,단일
1,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,에렉몬,성장기,날벼락치기,1,근거리,천둥,적,단일
0.25,0.2625,0.275,0.2875,0.3,0.3125,0.325,0.3375,0.35,0.3625,에렉몬(보라),성장기,재밍 썬더,4,근거리,천둥,적,단일
1,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,올챙몬,성장기,래핑 버블,1,원거리,물,적,단일
1,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,울퉁몬,성장기,앵그리 락,1,원거리,흙,적,단일
0.1666,0.175,0.1833,0.1916,0.2,0.2083,0.2166,0.225,0.2333,0.2416,임프몬,성장기,나이트 오브 파이어,6,원거리,어둠,적,단일
1,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,추추몬,성장기,네바네바 네트,1,원거리,물리,적,단일
1,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,츄몬,성장기,치즈 폭탄,1,원거리,어둠,적,단일
1,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,캔들몬,성장기,화염 폭탄,1,원거리,불,적,단일
1,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,케라몬,성장기,크레이지 스모크,1,원거리,어둠,적,단일
1,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,코에몬,성장기,베이비 슬링,1,원거리,물리,적,단일
0.5,0.525,0.55,0.575,0.6,0.625,0.65,0.675,0.7,0.725,코테몬,성장기,파이어 맨,2,근거리,불,적,단일
0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,쿠네몬,성장기,일렉트릭 쓰레드,5,원거리,천둥,적,단일
1,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,크랩몬,성장기,시저즈 엑스큐션,1,근거리,물리,적,단일
0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,테리어몬,성장기,쁘띠 트위스터,5,근거리,바람,적,단일
0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,테이파몬,성장기,나이트메어 신드롬,5,원거리,어둠,적,단일
1,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,텐타몬,성장기,꼬마 번개,1,근거리,천둥,적,단일
1,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,톱니몬,성장기,톱니바퀴포,1,원거리,어둠,적,단일
1,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,파닥몬,성장기,공기팡,1,원거리,바람,적,단일
0.1428,0.15,0.1571,0.1642,0.1714,0.1785,0.1857,0.1928,0.2,0.2071,파피몬,성장기,파란 불꽃,8,근거리,불,적,단일
0.1966,0.205,0.2133,0.2216,0.23,0.2383,0.2466,0.255,0.2633,0.2716,팔몬,성장기,독줄기 공격,6,근거리,나무,적,단일
0.25,0.2625,0.275,0.2875,0.3,0.3125,0.325,0.3375,0.35,0.3625,팔코몬,성장기,수리리검,4,원거리,바람,적,단일
0.25,0.2625,0.275,0.2875,0.3,0.3125,0.325,0.3375,0.35,0.3625,펭귄몬,성장기,슬라이드 어택,4,근거리,얼음,적,단일
0.1428,0.15,0.1571,0.1642,0.1714,0.1785,0.1857,0.1928,0.2,0.2071,플로라몬,성장기,알레르기 샤워,7,근거리,나무,적,단일
1,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,플롯트몬,성장기,파피 하울링,1,원거리,빛,적,단일
0.3333,0.35,0.3666,0.3833,0.4,0.4166,0.4333,0.45,0.4666,0.4833,피요몬,성장기,빙빙 회오리,3,근거리,불,적,단일
0.25,0.2625,0.275,0.2875,0.3,0.3125,0.325,0.3375,0.35,0.3625,피코데블몬,성장기,피코 다트,4,원거리,어둠,적,단일
0.3333,0.35,0.3666,0.3833,0.4,0.4166,0.4333,0.45,0.4666,0.4833,호크몬,성장기,페더 슬래시,3,원거리,바람,적,단일
1,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,황금톱니몬,성장기,샤이니 링,1,원거리,불,적,단일
0.5,0.525,0.55,0.575,0.6,0.625,0.65,0.675,0.7,0.725,가드로몬,성숙기,추적미사일,2,원거리,강철,적,단일
1,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,가루몬,성숙기,푸른 화염포,1,원거리,불,적,단일
1,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,가르고몬,성숙기,덤덤 어퍼,1,근거리,물리,적,단일
,,,,,,,,,,가트몬,성숙기,캣츠 아이,1,원거리,빛,적,단일,매료
0.5,0.525,0.55,0.575,0.6,0.625,0.65,0.675,0.7,0.725,개굴몬,성숙기,혀 공격,2,근거리,물리,적,단일
0.3333,0.35,0.3666,0.3833,0.4,0.4166,0.4333,0.45,0.4666,0.4833,고릴라몬,성숙기,에너지 캐논,3,원거리,어둠,적,단일
